Vocabulary-Kanji,Vocabulary-Furigana,Vocabulary-Kana,Vocabulary-English,Vocabulary-Pos,Expression,Reading,Sentence-Kana,Sentence-English,Sentence-Clozed
耳,耳[みみ],みみ,"ear, hearing",Noun,彼女は<b>耳</b>がよく聞こえません。,彼女[かのじょ]は<b> 耳[みみ]</b>がよく 聞[き]こえません。,かのじょ は <b>みみ</b> が よく きこえません,Her hearing isn't very good.,彼女[かのじょ]は<b>（　）</b>がよく 聞[き]こえません。
上手,上手[じょうず],じょうず,"good, skilled",Adjectival Noun,妹は歌が<b>上手</b>です。,妹[いもうと]は 歌[うた]が<b> 上手[じょうず]</b>です。,いもうと は うた が <b>じょうず</b> です,My little sister can sing.,妹[いもうと]は 歌[うた]が<b>（　）</b>です。
手,手[て],て,hand,Noun,分かった人は<b>手</b>を上げてください。,分[わ]かった 人[ひと]は<b> 手[て]</b>を 上[あ]げてください。,わかった ひと は <b>て</b> を あげて ください,Please raise your hand if you understand.,分[わ]かった 人[ひと]は<b>（　）</b>を 上[あ]げてください。
足,足[あし],あし,"leg, foot",Noun,彼は<b>足</b>が長い。,彼[かれ]は<b> 足[あし]</b>が 長[なが]い。,かれ は <b>あし</b> が ながい,He has long legs.,彼[かれ]は<b>（　）</b>が 長[なが]い。
空く,空[す]く,すく,be empty,Verb,レストランは<b>空いていました</b>。,レストランは<b> 空[す]いていました</b>。,れすとらん は <b>すいて いました</b>,The restaurant was empty.,レストランは<b>（　）</b>。
男,男[おとこ],おとこ,"man, male",Noun,<b>男</b>の人が私たちに話しかけた。,<b> 男[おとこ]</b>の 人[ひと]が 私[わたし]たちに 話[はな]しかけた。,<b>おとこ</b> の ひと が わたしたち に はなしかけた,This guy began talking to us.,<b>（　）</b>の 人[ひと]が 私[わたし]たちに 話[はな]しかけた。
女,女[おんな],おんな,"woman, girl",Noun,店員は若い<b>女</b>の人でした。,店員[てんいん]は 若[わか]い<b> 女[おんな]</b>の 人[ひと]でした。,てんいん は わかい <b>おんな</b> の ひと でした,The salesclerk was a young woman.,店員[てんいん]は 若[わか]い<b>（　）</b>の 人[ひと]でした。
子供,子供[こども],こども,"child, kid",Noun,電車で<b>子供</b>が騒いでいた。,電車[でんしゃ]で<b> 子供[こども]</b>が 騒[さわ]いでいた。,でんしゃ で <b>こども</b> が さわいで いた,Kids were making a racket in the train.,電車[でんしゃ]で<b>（　）</b>が 騒[さわ]いでいた。
あげる,あげる,あげる,give,Verb,この本、あなたに<b>あげます</b>。,この 本[ほん]、あなたに<b>あげます</b>。,この ほん あなた に <b>あげます</b>,I'll give you this book.,この 本[ほん]、あなたに<b>（　）</b>。
好き,好[す]き,すき,"favorite, liked",Adjectival Noun,私はワインが<b>好き</b>です。,私[わたし]はワインが<b> 好[す]き</b>です。,わたし は わいん が <b>すき</b> です,I like wine.,私[わたし]はワインが<b>（　）</b>です。
大好き,大好[だいす]き,だいすき,love,Adjective,私は犬が<b>大好き</b>だ。,私[わたし]は 犬[いぬ]が<b> 大好[だいす]き</b>だ。,わたし は いぬ が <b>だいすき</b> だ,I love dogs.,私[わたし]は 犬[いぬ]が<b>（　）</b>だ。
私,私[わたし],わたし,I,Noun,<b>私</b>が行きましょう。,<b> 私[わたし]</b>が 行[い]きましょう。,<b>わたし</b> が いきましょう,Why don't I go.,<b>（　）</b>が 行[い]きましょう。
友達,友達[ともだち],ともだち,"friend, companion",Noun,私には<b>友達</b>がたくさんいます。,私[わたし]には<b> 友達[ともだち]</b>がたくさんいます。,わたし に は <b>ともだち</b> が たくさん います,I have a lot of friends.,私[わたし]には<b>（　）</b>がたくさんいます。
家,家[うち],うち,"house, home",Noun,<b>家</b>に遊びに来てください。,<b> 家[うち]</b>に 遊[あそ]びに 来[き]てください。,<b>うち</b> に あそび に きて ください,Please come over to my house.,<b>（　）</b>に 遊[あそ]びに 来[き]てください。
気,気[き],き,"spirit, temperament",Noun,彼は意外に<b>気</b>が小さい。,彼[かれ]は 意外[いがい]に<b> 気[き]</b>が 小[ちい]さい。,かれ は いがい に <b>き</b> が ちいさい,He's unexpectedly timid.,彼[かれ]は 意外[いがい]に<b>（　）</b>が 小[ちい]さい。
元気,元気[げんき],げんき,"healthy, energetic",Adjective,おかげさまで<b>元気</b>です。,おかげさまで<b> 元気[げんき]</b>です。,おかげさま で <b>げんき</b> です,"I'm fine, thank you.",おかげさまで<b>（　）</b>です。
天気,天気[てんき],てんき,weather,Noun,今日はいい<b>天気</b>ですね。,今日[きょう]はいい<b> 天気[てんき]</b>ですね。,きょう は いい <b>てんき</b> です ね,It's nice out today.,今日[きょう]はいい<b>（　）</b>ですね。
晴れる,晴[は]れる,はれる,"be sunny, clear up",Verb,明日は<b>晴れる</b>といいですね。,明日[あした]は<b> 晴[は]れる</b>といいですね。,あした は <b>はれる</b> と いい です ね,I hope it'll be sunny tomorrow.,明日[あした]は<b>（　）</b>といいですね。
こう,こう,こう,"like this, this kind of",Adverb,<b>こう</b>小さい字は読めない。,<b>こう</b> 小[ちい]さい 字[じ]は 読[よ]めない。,<b>こう</b> ちいさい じ は よめない,I can't read such small letters.,<b>（　）</b> 小[ちい]さい 字[じ]は 読[よ]めない。
昨日,昨日[きのう],きのう,yesterday,Noun,<b>昨日</b>、友達に会った。,<b> 昨日[きのう]</b>、 友達[ともだち]に 会[あ]った。,<b>きのう</b> ともだち に あった,I met a friend yesterday.,<b>（　）</b>、 友達[ともだち]に 会[あ]った。
開ける,開[あ]ける,あける,"open, unlock",Verb,窓を<b>開けて</b>ください。,窓[まど]を<b> 開[あ]けて</b>ください。,まど を <b>あけて</b> ください,Please open the window.,窓[まど]を<b>（　）</b>ください。
開く,開[ひら]く,ひらく,open,Verb,32ページを<b>開いて</b>ください。,32[さんじゅうに]ページを<b> 開[ひら]いて</b>ください。,さんじゅうにぺーじ を <b>ひらいて</b> ください,Please open to page 32.,32[さんじゅうに]ページを<b>（　）</b>ください。
閉じる,閉[と]じる,とじる,close,Verb,教科書を<b>閉じて</b>ください。,教科書[きょうかしょ]を<b> 閉[と]じて</b>ください。,きょうかしょ を <b>とじて</b> ください,Please close your textbooks.,教科書[きょうかしょ]を<b>（　）</b>ください。
閉める,閉[し]める,しめる,"shut, close",Verb,ちゃんとドアを<b>閉めて</b>よ。,ちゃんとドアを<b> 閉[し]めて</b>よ。,ちゃんと どあ を <b>しめて</b>よ,Close the door properly.,ちゃんとドアを<b>（　）</b>よ。
閉まる,閉[し]まる,しまる,"be shut, be closed",Verb,お店はもう<b>閉まっていました</b>。,お 店[みせ]はもう<b> 閉[し]まっていました</b>。,おみせ は もう <b>しまって いました</b>,The shop had already closed.,お 店[みせ]はもう<b>（　）</b>。
聞く,聞[き]く,きく,"hear, ask",Verb,彼女はラジオを<b>聞いています</b>。,彼女[かのじょ]はラジオを<b> 聞[き]いています</b>。,かのじょ は らじお を <b>きいて います</b>,She's listening to the radio.,彼女[かのじょ]はラジオを<b>（　）</b>。
時間,時間[じかん],じかん,"time, hour",Noun,今は<b>時間</b>がありません。,今[いま]は<b> 時間[じかん]</b>がありません。,いま は <b>じかん</b> が ありません,I don't have time now.,今[いま]は<b>（　）</b>がありません。
高い,高[たか]い,たかい,"high, tall",Adjective,これがこの町で一番<b>高い</b>ビルです。,これがこの 町[まち]で 一番[いちばん]<b> 高[たか]い</b>ビルです。,これ が この まち で いちばん <b>たかい</b> びる です,This is the tallest building in town.,これがこの 町[まち]で 一番[いちばん]<b>（　）</b>ビルです。
くれる,くれる,くれる,be given,Verb,友達が誕生日プレゼントを<b>くれた</b>。,友達[ともだち]が 誕生日[たんじょうび]プレゼントを<b>くれた</b>。,ともだち が たんじょうび ぷれぜんと を <b>くれた</b>,My friend gave me a birthday present.,友達[ともだち]が 誕生日[たんじょうび]プレゼントを<b>（　）</b>。
安い,安[やす]い,やすい,"inexpensive, cheap",Adjective,この服はとても<b>安かった</b>。,この 服[ふく]はとても<b> 安[やす]かった</b>。,この ふく は とても <b>やすかった</b>,These clothes were very cheap.,この 服[ふく]はとても<b>（　）</b>。
低い,低[ひく]い,ひくい,"low, short",Adjective,彼は背が<b>低い</b>。,彼[かれ]は 背[せ]が<b> 低[ひく]い</b>。,かれ は せ が <b>ひくい</b>,He's short.,彼[かれ]は 背[せ]が<b>（　）</b>。
前,前[まえ],まえ,"front, before",Noun,その店の<b>前</b>で会いましょう。,その 店[みせ]の<b> 前[まえ]</b>で 会[あ]いましょう。,その みせ の <b>まえ</b> で あいましょう,Let's meet in front of the shop.,その 店[みせ]の<b>（　）</b>で 会[あ]いましょう。
後,後[あと],あと,after,Adverb,仕事の<b>後</b>、映画を見た。,仕事[しごと]の<b> 後[あと]</b>、 映画[えいが]を 見[み]た。,しごと の <b>あと</b> えいが を みた,I saw a movie after work.,仕事[しごと]の<b>（　）</b>、 映画[えいが]を 見[み]た。
後ろ,後[うし]ろ,うしろ,"back, behind",Noun,<b>後ろ</b>を向いて。,<b> 後[うし]ろ</b>を 向[む]いて。,<b>うしろ</b> を むいて,Turn around.,<b>（　）</b>を 向[む]いて。
午後,午後[ごご],ごご,"afternoon, p.m.",Noun,明日の<b>午後</b>、お客様が来る。,明日[あす]の<b> 午後[ごご]</b>、お 客様[きゃくさま]が 来[く]る。,あす の <b>ごご</b> おきゃくさま が くる,A guest is coming to visit tomorrow afternoon.,明日[あす]の<b>（　）</b>、お 客様[きゃくさま]が 来[く]る。
午前,午前[ごぜん],ごぜん,"morning, a.m.",Noun,<b>午前</b>9時のニュースです。,<b> 午前[ごぜん]</b> 9時[くじ]のニュースです。,<b>ごぜん</b> くじ の にゅーす です,And now for the 9.00 a.m. news.,<b>（　）</b> 9時[くじ]のニュースです。
朝,朝[あさ],あさ,morning,Noun,気持ちのいい<b>朝</b>です。,気持[きも]ちのいい<b> 朝[あさ]</b>です。,きもち の いい <b>あさ</b> です,It's a pleasant morning.,気持[きも]ちのいい<b>（　）</b>です。
昼,昼[ひる],ひる,"daytime, midday",Noun,私は<b>昼</b>のドラマを毎日見ます。,私[わたし]は<b> 昼[ひる]</b>のドラマを 毎日見[まいにち み]ます。,わたし は <b>ひる</b> の どらま を まいにち みます,I watch daytime dramas every day.,私[わたし]は<b>（　）</b>のドラマを 毎日見[まいにち み]ます。
かなり,かなり,かなり,"fairly, rather",Adverb,彼は<b>かなり</b>英語が上手です。,彼[かれ]は<b>かなり</b> 英語[えいご]が 上手[じょうず]です。,かれ は <b>かなり</b> えいご が じょうず です,He's pretty good at English.,彼[かれ]は<b>（　）</b> 英語[えいご]が 上手[じょうず]です。
晩,晩[ばん],ばん,evening (usually from sunset to bedtime),Noun,<b>晩</b>ご飯は食べましたか。,<b> 晩[ばん]</b>ご 飯[はん]は 食[た]べましたか。,<b>ばん</b>ごはん は たべました か,Have you had dinner?,<b>（　）</b>ご 飯[はん]は 食[た]べましたか。
今晩,今晩[こんばん],こんばん,"this evening, tonight",Noun,<b>今晩</b>のパーティーは何時からですか。,<b> 今晩[こんばん]</b>のパーティーは 何時[なんじ]からですか。,<b>こんばん</b> の ぱーてぃー は なんじ から です か,From what time is the party tonight?,<b>（　）</b>のパーティーは 何時[なんじ]からですか。
夜,夜[よる],よる,night (from sunset to sunrise),Noun,きのうの<b>夜</b>は家にいました。,きのうの<b> 夜[よる]</b>は 家[いえ]にいました。,きのう の <b>よる</b> は いえ に いました,I was at home last night.,きのうの<b>（　）</b>は 家[いえ]にいました。
